Chain,Link,Via,Datetime,Summary,Full Content,Rating,summary-processed,full_content-processed,full_content-sentiment,full_content-keywords,district
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-ca-phe-goi-682-tran-hung-dao,Android,2022-03-23 23:48:00,The Coffee House - Cà Phê Gói - 682***,Bánh mochi rẻ hơn chỗ khác. 19k 1 bánh. Nhưng ăn khá là ngon. Trà đào cam sả cho miếng đào to ghê luôn.,8.0,the coffee house cà phê gói 682,bánh mochi rẻ hơn chỗ khác. 19k 1 bánh. nhưng ăn khá là ngon. trà đào cam sả cho miếng đào to ghê luôn.,positive,"[('chỗ khác', 0.056516451119031294), ('hơn chỗ', 0.09063734476326656), ('bánh mochi', 0.10398110555938454), ('bánh', 0.16336137849192955), ('khác', 0.1855603633287262)]",Quận 5
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-313-nguyen-thi-thap,Android,2022-04-08 10:21:00,"Rất ồn, không tôn trọng khách hàng","Quán đang sửa chữa rất rất ồn nhưng nhân viên không báo trước hay để ý đến khách. 
Ban đầu chỉ vài tiếng đập, sau là khoan cắt ầm ầm liên tục như tra tấn khách. Tiếc ly cafe và bánh mì nên cố ngồi thêm 1 tiếng, nghĩ sẽ giảm nhưng ngày càng tăng.
Sửa chữa thì nên đóng cửa hoặc thông báo để khách biết né ra ạ.",5.0,rất ồn không tôn trọng khách hàng,quán đang sửa chữa rất rất ồn nhưng nhân viên không báo trước hay để ý đến khách. ban đầu chỉ vài tiếng đập sau là khoan cắt ầm ầm liên tục như tra tấn khách. tiếc ly cafe và bánh mì nên cố ngồi thêm 1 tiếng nghĩ sẽ giảm nhưng ngày càng tăng. sửa chữa thì nên đóng cửa hoặc thông báo để khách biết né ra ạ.,negative,"[('quán đang', 0.0413943525254072), ('nhân viên', 0.06019803145280754), ('trước hay', 0.06019803145280754), ('rất rất', 0.0755266979666155), ('rất', 0.13249810148867242)]",Quận 7
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-670-nguyen-duy-trinh,iPhone,2022-05-29 08:24:00,Cappuchino đỉnh của chóp…,Bọt bẹt thua cả quán vỉa hè. Cắt cả cookie… bét nhè chất lượng. Giá thì k đổi dù có giảm VAT 8%…,3.4,cappuchino đỉnh của chóp,bọt bẹt thua cả quán vỉa hè. cắt cả cookie bét nhè chất lượng. giá thì k đổi dù có giảm vat 8,negative,"[('bọt bẹt', 0.02541909697430123), ('chất lượng', 0.02541909697430123), ('bẹt thua', 0.04188746641162499), ('quán vỉa', 0.04188746641162499), ('cookie bét', 0.04188746641162499)]",Tp. Thủ Đức
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-feliz-en-vista,Web,2022-07-15 15:30:00,Starbucks Coffee - Feliz En Vista,"Đồ uống tạm ổn. Nhưng thái độ nhân viên khá cộc lốc, không tôn trọng khách hàng. Nhất là bạn nam tóc nhuộm màu.",4.2,starbucks coffee feliz en vista,đồ uống tạm ổn. nhưng thái độ nhân viên khá cộc lốc không tôn trọng khách hàng. nhất là bạn nam tóc nhuộm màu.,negative,"[('khách hàng', 0.07796891081290885), ('uống tạm', 0.1495930091794576), ('nhưng thái', 0.1495930091794576), ('nhân viên', 0.1495930091794576), ('viên khá', 0.1495930091794576)]",Tp. Thủ Đức
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-feliz-en-vista,Android,2022-01-09 15:56:00,Không phù hợp cho người làm việc,"Vị trí quán xa trung tâm, xung quanh ngoài khu hành chính thì không có nhiều tiện ích. Khách đông và ồn, người lớn trẻ con nói đùa to, nhân viên gọi khách lấy đồ cũng rất chói tai. Không gian nhỏ và bàn kê sát hơn so với các hình quảng cáo, khu bàn trong thì ít sáng còn khu ngoài cửa khách phải tự xếp lại bàn vì nắng chói. Lấy wifi bất tiện. Đồ uống không đặc sắc. 

Sẽ không quay lại.",1.6,không phù hợp cho người làm việc,vị trí quán xa trung tâm xung quanh ngoài khu hành chính thì không có nhiều tiện ích. khách đông và ồn người lớn trẻ con nói đùa to nhân viên gọi khách lấy đồ cũng rất chói tai. không gian nhỏ và bàn kê sát hơn so với các hình quảng cáo khu bàn trong thì ít sáng còn khu ngoài cửa khách phải tự xếp lại bàn vì nắng chói. lấy wifi bất tiện. đồ uống không đặc sắc. sẽ không quay lại.,negative,"[('trí quán', 0.0540539347413421), ('trung tâm', 0.0540539347413421), ('tâm xung', 0.0540539347413421), ('xung quanh', 0.0540539347413421), ('hành chính', 0.0540539347413421)]",Tp. Thủ Đức
Highlands Coffee,https://www.foody.vn/ho-chi-minh/highlands-coffee-pham-dinh-ho,iPhone,2022-06-21 20:39:00,Highlands Coffee -***,"Vừa mở , gần nhà , đang có ưu đãi 1 tặng 1 nên rất là ổn ápppppppp",9.8,highlands coffee,vừa mở gần nhà đang có ưu đãi 1 tặng 1 nên rất là ổn ápppppppp,positive,"[('nên rất', 0.015380821171891606), ('gần nhà', 0.02570861714399338), ('nhà đang', 0.02570861714399338), ('tặng', 0.04491197687864554), ('vừa', 0.09568045026443411)]",Quận 6
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-174a-trinh-dinh-trong,iPhone,2022-03-30 21:09:00,Phúc Long 174A Trịnh Đình Trọng,Nước ngon lắm ạ,10.0,phúc long 174a trịnh đình trọng,nước ngon lắm ạ,positive,"[('nước ngon', 0.04940384002065631), ('ngon lắm', 0.09700399286574239), ('nước', 0.15831692877998726), ('ngon', 0.29736558256021506), ('lắm', 0.29736558256021506)]",Quận Tân Phú
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-66e-hoang-dieu-2,Web,2021-07-25 14:25:00,The Coffee House - 66E***2,"Quán khá dễ tìm, ít đón nắng nên cảm giác khá chill
Nước uống thì tuỳ khẩu vị, thấy nhiều bạn chê nhưng mình thấy vừa miệng
Ngồi học lâu cũng không sao
Nhân viên phục vụ tốt",8.0,the coffee house 66e 2,quán khá dễ tìm ít đón nắng nên cảm giác khá chill nước uống thì tuỳ khẩu vị thấy nhiều bạn chê nhưng mình thấy vừa miệng ngồi học lâu cũng không sao nhân viên phục vụ tốt,positive,"[('quán khá', 0.027852985626211066), ('đón nắng', 0.032122209256969646), ('nắng nên', 0.032122209256969646), ('nên cảm', 0.032122209256969646), ('cảm giác', 0.032122209256969646)]",Tp. Thủ Đức
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-66e-hoang-dieu-2,iPhone,2021-07-21 15:57:00,The Coffee House,"Bánh mì chà bông phô mai
Trà xoài macchiato trân châu trắng
Trà cherry macchiato
Đào việt quất đá xay",7.8,the coffee house,bánh mì chà bông phô mai trà xoài macchiato trân châu trắng trà cherry macchiato đào việt quất đá xay,None,"[('chà bông', 0.03439110359613085), ('bông phô', 0.03439110359613085), ('phô mai', 0.03439110359613085), ('trân châu', 0.03439110359613085), ('châu trắng', 0.03439110359613085)]",Tp. Thủ Đức
Highlands Coffee,https://www.foody.vn/ho-chi-minh/highlands-coffee-nguyen-chi-thanh,Web,2022-02-01 13:59:00,"Trà sen vàng, Bánh phô mai trà xanh","Trà sen vàng (size M, 49k): kem bánh kem, uống hơi ngọt :( không ngon lắm
Bánh phô mai trà xanh (29k): bánh khá cứng, không ngon
---------
Không gian: có ghế gỗ không đệm, ổn",7.4,trà sen vàng bánh phô mai trà xanh,trà sen vàng size m 49k kem bánh kem uống hơi ngọt không ngon lắm bánh phô mai trà xanh 29k bánh khá cứng không ngon không gian có ghế gỗ không đệm ổn,negative,"[('trà xanh', 0.013018665555326188), ('ngon lắm', 0.01435371244202092), ('sen vàng', 0.014360072938729873), ('vàng size', 0.014360072938729873), ('uống hơi', 0.014360072938729873)]",Quận 10
