Chain,Link,Via,Datetime,Summary,Full Content,Rating
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-ca-phe-goi-682-tran-hung-dao,Android,2022-03-23 23:48:00,The Coffee House - Cà Phê Gói - 682***,Bánh mochi rẻ hơn chỗ khác. 19k 1 bánh. Nhưng ăn khá là ngon. Trà đào cam sả cho miếng đào to ghê luôn.,8.0
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-313-nguyen-thi-thap,Android,2022-04-08 10:21:00,"Rất ồn, không tôn trọng khách hàng","Quán đang sửa chữa rất rất ồn nhưng nhân viên không báo trước hay để ý đến khách. 
Ban đầu chỉ vài tiếng đập, sau là khoan cắt ầm ầm liên tục như tra tấn khách. Tiếc ly cafe và bánh mì nên cố ngồi thêm 1 tiếng, nghĩ sẽ giảm nhưng ngày càng tăng.
Sửa chữa thì nên đóng cửa hoặc thông báo để khách biết né ra ạ.",5.0
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-670-nguyen-duy-trinh,iPhone,2022-05-29 08:24:00,Cappuchino đỉnh của chóp…,Bọt bẹt thua cả quán vỉa hè. Cắt cả cookie… bét nhè chất lượng. Giá thì k đổi dù có giảm VAT 8%…,3.4
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-feliz-en-vista,Web,2022-07-15 15:30:00,Starbucks Coffee - Feliz En Vista,"Đồ uống tạm ổn. Nhưng thái độ nhân viên khá cộc lốc, không tôn trọng khách hàng. Nhất là bạn nam tóc nhuộm màu.",4.2
Starbucks Coffee,https://www.foody.vn/ho-chi-minh/starbucks-coffee-feliz-en-vista,Android,2022-01-09 15:56:00,Không phù hợp cho người làm việc,"Vị trí quán xa trung tâm, xung quanh ngoài khu hành chính thì không có nhiều tiện ích. Khách đông và ồn, người lớn trẻ con nói đùa to, nhân viên gọi khách lấy đồ cũng rất chói tai. Không gian nhỏ và bàn kê sát hơn so với các hình quảng cáo, khu bàn trong thì ít sáng còn khu ngoài cửa khách phải tự xếp lại bàn vì nắng chói. Lấy wifi bất tiện. Đồ uống không đặc sắc. 

Sẽ không quay lại.",1.6
Highlands Coffee,https://www.foody.vn/ho-chi-minh/highlands-coffee-pham-dinh-ho,iPhone,2022-06-21 20:39:00,Highlands Coffee -***,"Vừa mở , gần nhà , đang có ưu đãi 1 tặng 1 nên rất là ổn ápppppppp",9.8
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-174a-trinh-dinh-trong,iPhone,2022-03-30 21:09:00,Phúc Long 174A Trịnh Đình Trọng,Nước ngon lắm ạ,10.0
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-66e-hoang-dieu-2,Web,2021-07-25 14:25:00,The Coffee House - 66E***2,"Quán khá dễ tìm, ít đón nắng nên cảm giác khá chill
Nước uống thì tuỳ khẩu vị, thấy nhiều bạn chê nhưng mình thấy vừa miệng
Ngồi học lâu cũng không sao
Nhân viên phục vụ tốt",8.0
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-66e-hoang-dieu-2,iPhone,2021-07-21 15:57:00,The Coffee House,"Bánh mì chà bông phô mai
Trà xoài macchiato trân châu trắng
Trà cherry macchiato
Đào việt quất đá xay",7.8
Highlands Coffee,https://www.foody.vn/ho-chi-minh/highlands-coffee-nguyen-chi-thanh,Web,2022-02-01 13:59:00,"Trà sen vàng, Bánh phô mai trà xanh","Trà sen vàng (size M, 49k): kem bánh kem, uống hơi ngọt :( không ngon lắm
Bánh phô mai trà xanh (29k): bánh khá cứng, không ngon
---------
Không gian: có ghế gỗ không đệm, ổn",7.4
Highlands Coffee,https://www.foody.vn/ho-chi-minh/highlands-coffee-nguyen-chi-thanh,iPhone,2021-03-21 21:22:00,Highlands Coffee - 82***,"Rộng rãi, thoáng mát 👍🏻👍🏻👍🏻
Nhân viên nhiệt tình ☺️☺️☺️
@t4_eattheworld",8.0
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-saigon-mia,Web,2022-06-02 00:06:00,The Coffee House - Saigon Mia,"Cafe ngon, nhan vien than thien 0866583149",9.4
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-saigon-mia,iPhone,2020-09-20 21:41:00,The Coffee House - Saigon Mia,"Quay lại sau hơn 3 tháng. Tối cuối tuần luôn đông full bàn. Toà nhà mới đẹp. Không gian quán cũng rất thoải mái cho làm việc, bạn bè tụ họp. Khách ngoài thì gởi xe dưới hầm 4k đi thang máy lên tầng trệt vào quán.",9.0
The Coffee House,https://www.foody.vn/ho-chi-minh/the-coffee-house-saigon-mia,iPhone,2020-06-09 22:52:00,The Coffee House - Saigon Mia,"Quán trang trí rất đẹp, toà nhà rộng hiện đại, chất luợng và giá cả thì thống nhất toàn hệ thống nên không có gì phải bàn :))",9.0
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,Android,2022-06-22 11:58:00,"Ngọt quá ngọt + không mùi trà, không quay lại Phúc Long ở 968***P15 Q11","Kêu 1 ly lucky tea - không đường , không đá

Khi nhận được ly trà, làm thử 1 ngụm nhỏ thì chịu không nổi cái độ ngọt.",1.0
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-lotte-mart-quan-11,iPhone,2021-04-16 22:08:00,"Nay uống TS mà ít hơn mọi bữa cả khúc, đá cũng nhiu hơn. Dù mình uống ở đây rất nhìu lần roy. Nay ko enjoy tí nào",Phúc Long nay lên giá thì phải,4.0
