Comments,URL,_id
"[{""Via"":""Android"",""Date Time"":{""$date"":""2022-07-06T02:06:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Lê Lợi"",""Full Content"":""人太多只敢打包回来吃 ，刺身非常新鲜越南的三文鱼比国内厚切还要厚👍🏻 海鲜乌冬面吃不太习惯，唐扬鸡块可能由于打包的原因不太酥脆了，整体来说这顿饭还是非常满意的👍🏻"",""Rating"":9},{""Via"":""iPhone"",""Date Time"":{""$date"":""2022-06-24T10:33:00Z""},""Summary"":""Lâu lắm rồi mới quay lại"",""Full Content"":""Bao nhiêu năm lô cốt che, nay mới quay lại quán.\n\nƯu:\n- Đồ ăn vẫn ngon như xưa\n- Nhân viên siêu dễ thương và thân thiện\n- Menu rất nhiều món, đa dạng\n\nNhược:\n- Khó có chỗ gửi xe\n- Book taxi đến rước góc này rất căng, vì xe hơi chưa được quẹo vào, mà đậu ngay góc***Lê Lợi lâu xíu là bị phạt chết luôn!\n- Quán nhìn hơi bị cũ, tường có vết nứt, cầu thang nhìn cũng cũ sao á. Sạch sẽ nhưng bị cũ, mong shop ăn nên làm ra để mạnh tay sửa chữa!"",""Rating"":7.8},{""Via"":""iPhone"",""Date Time"":{""$date"":""2022-06-13T22:17:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Lê Lợi"",""Full Content"":""Vẫn là nhà hàng yêu thích của mình, \nMorico đã có thêm sự thay đổi về menu & nhiều món ngon hấp dẫn"",""Rating"":9},{""Via"":""Android"",""Date Time"":{""$date"":""2022-03-23T23:35:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Lê Lợi"",""Full Content"":""Quán cà phê nhà hàng jp mà mình thích nhất. Ko gian đẹp sang. Món kem vừa ăn - ko quá ngọt ko quá béo. Trà houjicha cực thơm. Tuyet voi."",""Rating"":10},{""Via"":""Android"",""Date Time"":{""$date"":""2021-04-18T12:51:00Z""},""Summary"":""Desert"",""Full Content"":""- Vị trí: gần đường đi bộ***nhưng cũng nằm cạnh 1 cái công trường đang thi công nên lúc tìm trên gg cũng hơi hoang mang khi rẽ vào cái ngõ đấy\n- Không gian: rộng rãi, không đông lắm\n- Đồ uống: rất đậm đà vị matcha nên khá là ưng cái bụng dù hơi đắt"",""Rating"":7.2},{""Via"":""Android"",""Date Time"":{""$date"":""2021-03-07T17:08:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Lê Lợi"",""Full Content"":""Mình ăn ở chi nhánh này rất nhiều lần rồi, quán làm món mặn hay món ngọt đều rất ngon . Nhưng điểm trừ là nếu ăn từ khoảng 19 giờ đến 21 giờ thì nhân viên thái độ không tốt,cọc cằn,kêu thì ngó lơ xanh nạnh."",""Rating"":5.8},{""Via"":""iPhone"",""Date Time"":{""$date"":""2021-02-20T14:25:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Lê Lợi"",""Full Content"":""Kem đỉnh quá mọi ng ơi"",""Rating"":10},{""Via"":""MobileWeb"",""Date Time"":{""$date"":""2021-02-16T11:34:00Z""},""Summary"":""Món ăn ở đây thật tuyệt"",""Full Content"":""Ok nha ."",""Rating"":8},{""Via"":""iPhone"",""Date Time"":{""$date"":""2021-02-15T11:00:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Lê Lợi"",""Full Content"":""Dạo này mình ăn thấy chất lượng món mặn của Morico đi xuống. Mình gọi cơm cá hồi và hàu phô mai mà k hề tươi tí nào, ăn đau bụng nữa:( \nVẫn recommend các bạn gọi mì lạnh trà với gà teriyaki salad thôi.\nNước của Morico vẫn ổn."",""Rating"":6}]",https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-le-loi,0
"[{""Via"":""iPad"",""Date Time"":{""$date"":""2021-01-11T22:35:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Vincom Center"",""Full Content"":""Đi vòng vòng không biết ăn gì lại vào đây :))\nPhục vụ: có người dễ thương, có người lại hơi thiếu nhiệt tình. Để ý lúc có khách vào là chào mà không hiểu sao mình không được chào, nghĩ chắc đông khách quá hay gì mà không chú ý nên thông cảm :D\nChất lượng: lần này mình cũng kêu roll cá hồi tái, ăn béo và ngon lắm. Cơm curry heo ăn ổn, không đặc biệt lắm. Ramen hải sản cũng ổn thôi à, tôm tươi, nhưng nghêu mình ăn trúng phải con ươn hic. Nước ép mình gọi anti oxidant uống ngon lắm, vị dứa khá thơm.\nGiá cả: 2 người 700k, cũng hơi mắc"",""Rating"":7.6}]",https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-vincom-center,1
"[{""Via"":""iPhone"",""Date Time"":{""$date"":""2022-04-19T22:24:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Saigon Pearl"",""Full Content"":""- Chắc cũng hơn 1 năm rồi mình mới quay lại Morico. Ăn món mặn gần đó xong đi bộ ghé Morico ăn tráng miệng.\n- Menu vẫn như cũ, 1 menu món mặn, 1 menu dessert. Menu Yokoso hình như không thấy nữa, vẫn gọi những món quen thuộc:\n- Bánh crepe: các lớp bánh mỏng, ăn không bị ngán, sốt dâu chua ngọt ăn bắt vị.\n- Matcha parfait: đẹp mắt, ngon, signature của Morico\n- Berries kakigori: mình nhớ hồi đó là kem tươi để ăn chung, bây giờ đổi thành gelato vị vani rồi hay sao ta. Trời nóng ăn bao mát luôn.\n- Houjicha gelato: no quá, cũng ráng ăn thêm viên kem, Kem dẻo, vị trà rang thơm lắm. Cone hơi bị yểu, ăn không có giòn. Lại quầy kem được thử kem miễn phí nha mọi người.\n- Mình có thẻ thành viên nên được discount, bill cỡ 500k hơn nè. Hình như sau covid Morico không còn phục vụ nước lọc nữa hay sao á. Nói về món tráng miệng Nhật thì Morico vẫn best nè, mình đi lúc 5h kém ngoài trời còn hơi nóng, buổi tối ra ngoài ngồi chắc mát lắm á, gió lồng lộng luôn."",""Rating"":8.4},{""Via"":""Android"",""Date Time"":{""$date"":""2022-03-27T20:36:00Z""},""Summary"":""Càng ngày càng tệ"",""Full Content"":""Hơn 1 năm mình mới trở lại quán này dù là mình ở ngay trong Saigon Pearl. Mâm sashimi đẳt nhất mà lúc nào cũng không có miếng cá nào ngon. Quán thì lúc nào trẻ con cũng chạy khắp nơi và la hét ồn ào. Thế mà lúc nào cũng đông. Ở Saigon có hàng chục quán ăn Nhật ngon hơn chỗ này mà giá cũng tương đương. Nên tránh xa."",""Rating"":3.6},{""Via"":""iPhone"",""Date Time"":{""$date"":""2022-01-17T00:19:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Saigon Pearl"",""Full Content"":""Món ăn ở Morico rất ngon, vị đậm đà, katsudon ngon miễn bàn, sashimi tươi, dessert ngon và ko quá ngọt.\nNgồi bên ngoài thoáng gió mát lắm luôn, nhân viên ok"",""Rating"":8.4},{""Via"":""iPhone"",""Date Time"":{""$date"":""2021-05-21T19:36:00Z""},""Summary"":""Cái nết bán hàng dui ghê."",""Full Content"":""Mua mấy lần rồi giờ mới nói. Cứ đưa nhiêu tiền là lấy hết trơn, không bao giờ chủ động trả lại cho khách. Thiệt có khi mình đưa dư mấy trăm nghìn cũng mặc nhiên tưởng đó là tiền của mình hay sao á. Mắc cừi ghê."",""Rating"":1},{""Via"":""iPad"",""Date Time"":{""$date"":""2021-02-02T09:27:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Saigon Pearl"",""Full Content"":""Quán quen"",""Rating"":7},{""Via"":""iPhone"",""Date Time"":{""$date"":""2021-01-26T11:53:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Saigon Pearl"",""Full Content"":""Đồ ăn ngon, pv nice. Quán xinh, đông."",""Rating"":8}]",https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-saigon-pearl,2
"[{""Via"":""Android"",""Date Time"":{""$date"":""2022-02-24T08:46:00Z""},""Summary"":""Khá thất vọng về cách phục vụ của morico"",""Full Content"":""Nửa năm rồi mình mới quay lại ăn ở Morico. Lần này mình ăn ở chi nhánh Mplaza nhưng không hiểu sao lúc mình và bạn ngồi bàn ngoài trời hầu như nhân viên không ai quan tâm đến. Mình và bạn mình mất rất lâu để ra hiệu với các bạn nhân viên bên trong và không ai trực ngoài khu tụi mình cả. Và nhiều lần tụi mình phải vào trong để trực tiếp gọi nhân viên. Khi mình gọi món lần 3 thì bạn báo đã last order trong khi mình trước đó không nghe bạn thông báo trước gì cả, nên mình khá bất ngờ thì bạn nhân viên có vào hỏi lại xem có làm đươc không. Lúc đó tụi mình định ăn thêm một vài thứ nhưng tạm gọi một món sashimi vì cũng chả buồn gọi thêm. \nTrải nghiệm không còn tốt như trước dù mình rất thích các món ở Morico."",""Rating"":2.8},{""Via"":""Android"",""Date Time"":{""$date"":""2022-02-23T23:46:00Z""},""Summary"":""Khá thất vọng về cách phục vụ của Morico"",""Full Content"":""Nửa năm rồi mình mới quay lại ăn ở Morico. Lần này mình ăn ở chi nhánh Mplaza nhưng không hiểu sao lúc mình và bạn ngồi bàn ngoài trời hầu như nhân viên không ai quan tâm đến. Mình và bạn mình mất rất lâu để ra hiệu với các bạn nhân viên bên trong và không ai trực ngoài khu tụi mình cả. Và nhiều lần tụi mình phải vào trong để trực tiếp gọi nhân viên. Khi mình gọi món lần 3 thì bạn báo đã last order trong khi mình trước đó không nghe bạn thông báo trước gì cả, nên mình khá bất ngờ thì bạn nhân viên có vào hỏi lại xem có làm đươc không. Lúc đó tụi mình định ăn thêm một vài thứ nhưng tạm gọi một món sashimi vì cũng chả buồn gọi thêm. Trải nghiệm không còn tốt như trước dù mình rất thích các món ở Morico."",""Rating"":5.8}]",https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-mplaza-saigon,3
"[{""Via"":""Android"",""Date Time"":{""$date"":""2022-03-14T14:43:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Crescent Mall"",""Full Content"":""Siêu ngon. Đậu nành rang vị lạ lạ. Ko gian rộng rãi sạch đẹp. Nv thân thiện nhiệt tình."",""Rating"":10},{""Via"":""Android"",""Date Time"":{""$date"":""2021-03-20T20:03:00Z""},""Summary"":""Hộp nhựa rẻ tiền, mì \""lạnh\"" ko lạnh"",""Full Content"":""Hôm trước order ramen, hôm nay order soba đều nhận được hộp nhựa tròn rẻ tiền như mua hủ tiếu, bánh canh ngoài đường. Nhất là hôm đựng ramen nước nóng đến nỗi móp hộp, ăn dễ ung thư. Mình tưởng Morico chủ trương dùng hộp giấy bảo vệ môi trường? Có vẻ như quán đang cắt giảm chi phí packaging.\nMà mì soba trà lạnh ko hề lạnh, mình phải bỏ tủ lạnh r mới lấy ra ăn trong khi nhà gần xịt Crescent, trời mát shipper giao cũng nhanh (đi xe máy khoảng 7'). Tempura thì giòn ngon nhưng ko cho giấy thấm dầu nên ko được ráo.\nKo hiểu sao Foody ko cho up ảnh."",""Rating"":5.6},{""Via"":""iPhone"",""Date Time"":{""$date"":""2021-02-19T07:40:00Z""},""Summary"":""Bday Party 💐"",""Full Content"":""Đặt trước nên đến trễ được gọi nhắc. Phục vụ chu đáo. Đồ ăn ngon. Giá không quá cao 😍"",""Rating"":7.8},{""Via"":""iPad"",""Date Time"":{""$date"":""2021-02-16T17:39:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Crescent Mall"",""Full Content"":""Quán lý tưởng với style nhẹ nhàng"",""Rating"":6.8}]",https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-crescent-mall,4
"[{""Via"":""Android"",""Date Time"":{""$date"":""2021-01-18T22:20:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Somerset"",""Full Content"":""Không gian chi nhánh này kế Phúc Long, nhìn chung cũng khá yên tĩnh. Nhân viên chưa thấy niềm nở, thân thiện cho lắm. Mình order 3 món: Spicy Salmon Yaki, Matcha Parfait và Matcha Float. Cơm thì không có gì đặc sắc, phần cơm khá ít, hạt cơm chưa được tơi. Cái Parfait ngon ấy, matcha ở đây thì khỏi bàn rồi, ai thích matcha thì đến thử xem."",""Rating"":6}]",https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-somerset,5
"[{""Via"":""iPad"",""Date Time"":{""$date"":""2021-01-11T22:16:00Z""},""Summary"":""Morico - Contemporary Japanese Lifestyle - Diamond Island"",""Full Content"":""Ra vô hơi bất tiện"",""Rating"":5}]",https://www.foody.vn/ho-chi-minh/morico-contemporary-japanese-lifestyle-diamond-island,6
"[{""Via"":""Android"",""Date Time"":{""$date"":""2022-09-23T01:20:00Z""},""Summary"":""Pizza 4P’s - Pizza Kiểu Nhật -***"",""Full Content"":""Bánh ăn được không gian đẹp , tổng bill 2tr3 cho 3 người"",""Rating"":8},{""Via"":""Android"",""Date Time"":{""$date"":""2022-08-14T23:31:00Z""},""Summary"":""Ngon"",""Full Content"":""Trong các chi nhánh đã ăn thì pizza 4P tiệm chính bao giờ cũng ngon nhất, thái độ nhân viên phục vụ tốt, dù là ăn tại chỗ hay order về.\nRiêng phần order về, khi hỏi bạn cho thêm phô mai khô và mật ong, vsf không lấy tương cà với tương ớt, bạn vui vẻ hỗ trợ và còn cho thêm."",""Rating"":8.2},{""Via"":""Android"",""Date Time"":{""$date"":""2022-07-09T00:44:00Z""},""Summary"":""Pizza 4P"",""Full Content"":""Nhân viên tại cửa khá chảnh. Đặt 18 người trong đó có ông cụ 102 tuổi ngồi xe lăn. Hỏi có thể xếp cho ông ngồi ở dưới hay không. Nhân viên không linh hoạt và để khiên ông lẫn xe lăn lên tận lầu 2. Quá tệ cho dịch vụ. Cảm quan không hài lòng khi ăn tại quán này"",""Rating"":4},{""Via"":""Android"",""Date Time"":{""$date"":""2022-04-05T16:16:00Z""},""Summary"":""Chảnh, chất lượng bình thường"",""Full Content"":""Chuỗi 4ps có thái độ rất chảnh một cách rất hách dịch và khó chịu, đặt bàn trc những ngày lễ hoặc cuối tuần luôn nhận thái độ và câu trả lời của nhân viên \""từ chối nhận bàn\"" \""từ chối nhận khách\"" đậu xanh. Lễ thì tất nhiên biết nhu cầu đi ăn uống bên ngoài đông, nhưng chuỗi lớn như golden gate, redsun chưa bao giờ có chất lượng phục vụ nhảm nhí vớ vẩn như nhân viên của 4ps. Yêu cầu nhà hàng đào tạo lại nhân viên.\nĐã ăn thử 4ps ở q1, q2, saigon center, q7,q11 ,bình thạnh, aeon ...theo cảm nhận riêng thì basta hiro ngon hơn. Luôn cho 4ps cơ hội để thay đổi nhưng không, 4ps luôn làm tôi thất vọng. Dịch vụ thái độ luôn b.ố l.á.o thế nào ấy, nhất là những lúc muốn book bàn. Thấy cực kì phiền phức. Saigon k thiếu chỗ ăn\nKhông bao giờ quay lại. Đặc biệt Cửa hàng q1 và aeon dịch vụ thảm hại nhất.\nThái độ đậu xanh không cần khách thì cũng có ngày bay màu sớm thôi. Tiễn z.o.n.g\nChi phí cho 1 người ăn tại 4ps tầm 400k-500k\nTầm này ăn Hokkaido sushi thấy ok hơn."",""Rating"":1},{""Via"":""Web"",""Date Time"":{""$date"":""2021-07-03T17:13:00Z""},""Summary"":""Pizza,"",""Full Content"":""Pizza ngon, tinh tế từ bột bánh, cho đến nhân. Hài lòng."",""Rating"":6.4},{""Via"":""iPhone"",""Date Time"":{""$date"":""2021-04-06T13:13:00Z""},""Summary"":""Ngon"",""Full Content"":""Cách thức làm pizza khá lạ so với mấy quán khác nhưng lại có cái ngon riêng. Không gian thoáng***thoải mái, cuối tuần hơi đông, chờ hơi lâu."",""Rating"":10},{""Via"":""iPhone"",""Date Time"":{""$date"":""2021-03-21T22:36:00Z""},""Summary"":""Pizza 4P’s - Pizza Kiểu Nhật -***"",""Full Content"":""Đồ ăn ok service cũng rất tốt chỉ có điều đồ ăn lâu quá. Mình gọi 1 pizza ăn nhưng ăn còn 2 miếng ăn kh hết mình mới gọi phục vụ gói mang về giúp mình và đặt thêm 1 pizza phomai mang về. Vì lúc bạn giao pizza cho mình mình phải về gấp nên kh kịp kiểm tra. Về nhà thì thấy bạn ấy kh gói 2 miếng kia về cho mình chỉ gói mỗi cái pizza phomai 😭😭 mình kh muốn bỏ phí đồ ăn nên mới dặn bạn ấy mang về cho mình v mà 😭😭"",""Rating"":4.6},{""Via"":""iPhone"",""Date Time"":{""$date"":""2021-02-16T00:06:00Z""},""Summary"":""Pizza 4P’s - Pizza Kiểu Nhật -***"",""Full Content"":""Nay đặt bàn ở LTT mình ko biết là ở đây ko có bàn nhìn xuống bếp, chắc do bạn t.đài không biết nên đã không nói rõ. Nhưng bù lại bạn ấy rất nhiệt tình coi chỗ chi nháh nào còn bàn cho mình.\nVề phần nhà hàng, pv rất ok, dễ chịu, mình đặt 3 món salad hoa quả với cheese gì đó, 1 bánh pizza 1 nửa là 4 loại cheese ăn kèm mật ong, 1 loại là pizza bò loại nào ăn cũng ngon hết, có điều đế bánh mỏng nên bị cháy bén vô bánh nhưng vẫn trog khả năng ăn đc 😂 khúc cuối 2 đứa gọi thêm mì spaghetti có cua, này hơi fail xíu là mì còn khá cứng, ko còn nóng nhìu nên hơi có mùi tah xí, nhưng sốt khá ngon béo. N.h nhận ý kiến đánh giá của khách hàng ngay tại chỗ khi thanh toán 👍🏻 và còn tặng 2 dĩa kem tráng miệng thay cho phần mì bị fail. Mình cảm thấy quy trình và cách phục vụ của pizza 4p’s khá chuyên nghiệp và giải quyết vde tốt khiến kh có cảm tình tích cực 👍🏻 \nSẽ còn ghé lại 😄"",""Rating"":8.4}]",https://www.foody.vn/ho-chi-minh/pizza-4p-s-pizza-kieu-nhat-le-thanh-ton,7
"[{""Via"":""iPhone"",""Date Time"":{""$date"":""2021-03-09T09:44:00Z""},""Summary"":""Đồ ăn ngon, view sang"",""Full Content"":""Đồ ăn ngon, pizzza, salad đều ăn ngon. Nhân viên lịch sự, giá cao nhưng đi đôi cùng chất lượng. Phù hợp tiếp khách, hẹn hò nè. Sẽ quay lại ủng hộ"",""Rating"":10}]",https://www.foody.vn/ho-chi-minh/pizza-4p-s-pizza-kieu-nhat-nguyen-van-linh,8
"[{""Via"":""Android"",""Date Time"":{""$date"":""2022-09-23T01:13:00Z""},""Summary"":""Pizza 4P's - Pizza Kiểu Nhật -***"",""Full Content"":""Không ngon như mong đợi , bánh khá là mềm chứ không giòn , nv phục vụ nhiệt tình"",""Rating"":4},{""Via"":""iPhone"",""Date Time"":{""$date"":""2022-09-18T02:26:00Z""},""Summary"":""Pizza 4P's - Pizza Kiểu Nhật -***"",""Full Content"":""Ngon lắm, rau tươi xanh . Món cá hồi sống phômai morrazela ngon lắm (hình 44). Bacon cuộc lá rocket tuyệt vời, vị phô mai hoà cùng miếng bacon thêm tí đắng nhẹ của rocket ngon lắm luôn ạ ."",""Rating"":9.2},{""Via"":""iPhone"",""Date Time"":{""$date"":""2022-06-27T02:11:00Z""},""Summary"":""Pizza 4P's - Pizza Kiểu Nhật -***"",""Full Content"":""Món bình thường , giá hơi cao so với những chổ khác , cá nhân mình thấy pizza ở đây vị hơi nhạt… không hợp khẩu vị mình !"",""Rating"":5.8},{""Via"":""iPhone"",""Date Time"":{""$date"":""2022-04-15T23:01:00Z""},""Summary"":""Thiếu chuyên nghiệp"",""Full Content"":""Không hiểu sao khách yêu cầu xuất hoá đơn theo thông tin in trên namecard lại bắt khách phải gõ tay lại vào máy của nhà hàng với lý do sợ nhân viên nhà hàng nhập sai. Chưa từng thấy ở đâu yêu cầu như vậy, rất tiếc vì một bữa tối gần như hoàn hảo. Chi nhánh***nên xem lại cách làm việc không giống ai này"",""Rating"":1},{""Via"":""Android"",""Date Time"":{""$date"":""2021-03-09T09:20:00Z""},""Summary"":""Đồ ăn ngon, dịch vụ tốt"",""Full Content"":""Đồ ăn ở đây khá ngon, món nào cũng OK, nhân viên dễ thương giá cả hợp lý, thích hợp để hẹn hò hay họp mặt nhóm"",""Rating"":9.4},{""Via"":""iPhone"",""Date Time"":{""$date"":""2021-01-17T14:12:00Z""},""Summary"":""Dịch vụ ngày càng tệ"",""Full Content"":""Gọi điện đàng hoàng book bàn 8 người cho khách quan trọng tối thứ 7 7.15pm. Khách mình đến thì bảo không có bàn, còn bảo là bàn mình book vào ngày mai (???), nên không nhận khách mình, làm mình phải sắp xếp khách qua chỗ khách gần đó!\nLần đầu tiên trong đời bị vậy, thật không thể hiểu nổi cách làm dịch vụ 4Ps ngày càng tệ"",""Rating"":1}]",https://www.foody.vn/ho-chi-minh/pizza-4p-s-pizza-kieu-nhat-thu-khoa-huan,9
