	Link	Food_name	Price
0	/ho-chi-minh/bun-dau-ha-noi-thong-nhat	Bún đậu thập cẩm	63,000đ+
1	/ho-chi-minh/bun-dau-ha-noi-thong-nhat	Bún đậu chả cốm	38,000đ+
2	/ho-chi-minh/bun-dau-ha-noi-thong-nhat	Bún đậu thịt	38,000đ+
3	/ho-chi-minh/bun-dau-ha-noi-thong-nhat	Bún đậu nem chiên	43,000đ+
4	/ho-chi-minh/bun-dau-ha-noi-thong-nhat	Bún đậu	28,000đ+
5	/ho-chi-minh/bun-dau-ha-noi-thong-nhat	Bún thêm	13,000đ+
6	/ho-chi-minh/bun-dau-ha-noi-thong-nhat	Chả cốm thêm	38,000đ+
7	/ho-chi-minh/bun-dau-ha-noi-thong-nhat	Đậu thêm	13,000đ+
8	/ho-chi-minh/bun-dau-ha-noi-thong-nhat	Nem Chiên Thêm	43,000đ+
9	/ho-chi-minh/bun-dau-ha-noi-thong-nhat	Nước suối	13,000đ+
10	/ho-chi-minh/the-pizza-company-quang-trung	GÀ GIÒN XỐT HÀN 1K	99,000đ1,000đ+
11	/ho-chi-minh/the-pizza-company-quang-trung	Combo 1 Pizza size S + 1 Soft Drink	148,000đ110,000đ+
12	/ho-chi-minh/the-pizza-company-quang-trung	COMBO NUI BỎ LÒ 69K	69,000đ+
13	/ho-chi-minh/the-pizza-company-quang-trung	GÀ GIÒN XỐT HÀN 1K	99,000đ1,000đ+
14	/ho-chi-minh/the-pizza-company-quang-trung	Combo 1 Pizza size S + 1 Soft Drink	148,000đ110,000đ+
15	/ho-chi-minh/the-pizza-company-quang-trung	Gà Giòn Xốt Hàn - Truyền Thống	99,000đ+
16	/ho-chi-minh/the-pizza-company-quang-trung	Gà Giòn Xốt Hàn - Cay	99,000đ+
17	/ho-chi-minh/the-pizza-company-quang-trung	Gà Giòn Xốt Tương Tỏi Hàn Quốc	99,000đ+
18	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Hải Sản Pesto Xanh / Secret Recipe Seafood Pesto	169,000đ+
19	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Hải Sản Đào - Seafood & Peach	169,000đ+
20	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Hải Sản Nhiệt Đới / Tropical Seafood	139,000đ+
21	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Hải Sản Cao Cấp / Seafood Deluxe	139,000đ+
22	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Hải Sản Cocktail / Seafood Cocktail	139,000đ+
23	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Tôm Cocktail / Shrimp Cocktail	139,000đ+
24	/ho-chi-minh/the-pizza-company-quang-trung	Pizza 5 Loại Thịt Đặc Biệt / Meat Deluxe	129,000đ+
25	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Aloha / Aloha	129,000đ+
26	/ho-chi-minh/the-pizza-company-quang-trung	Pizza 5 Loại Thịt Đặc Biệt Và Rau Củ / Super Deluxe	129,000đ+
27	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Thịt Xông Khói / Bacon Super Delight	129,000đ+
28	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Gà Nướng 3 Vị / Chicken Trio	129,000đ+
29	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Thịt Nguội Kiểu Canada / Canadian Bacon	129,000đ+
30	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Phô Mai / Double Cheese	119,000đ+
31	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Xúc Xích Ý / Double Pepperoni	119,000đ+
32	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Hawaii / Hawaiian	119,000đ+
33	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Rau Củ / Veggie	119,000đ+
34	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Thịt Nguội & Nấm / Ham & Mushroom	119,000đ+
35	/ho-chi-minh/the-pizza-company-quang-trung	Pizza Gà Nướng Dứa / Chicken Caldo	119,000đ+
36	/ho-chi-minh/the-pizza-company-quang-trung	Mì Ý thịt bò bằm / Pasta Bolognese	129,000đ+
37	/ho-chi-minh/the-pizza-company-quang-trung	Mì Ý Cay Hải Sản / Stir fried pasta with spicy seafood	129,000đ+
38	/ho-chi-minh/the-pizza-company-quang-trung	Mì Ý Giăm Bông Và Nấm xốt Kem / Pasta ham & mushroom in creamy sauce	99,000đ+
39	/ho-chi-minh/the-pizza-company-quang-trung	Mì Ý Tôm xốt Kem Cà Chua / Pasta shrimp rose	129,000đ+
40	/ho-chi-minh/the-pizza-company-quang-trung	Mì Ý Chay xốt Marinara / Pasta with vegetable in marinara sauce	89,000đ+
41	/ho-chi-minh/the-pizza-company-quang-trung	Mì Ý Cay Xúc Xích / Stir fried pasta with spicy sausage	109,000đ+
42	/ho-chi-minh/the-pizza-company-quang-trung	Mì Ý Chay xốt Kem Tươi / Pasta mushroom with cream sauce	89,000đ+
43	/ho-chi-minh/the-pizza-company-quang-trung	Salad gà giòn không xương / Chicken strip slad with 1000 island sauce	79,000đ+
44	/ho-chi-minh/the-pizza-company-quang-trung	Salad da cá hồi giòn / Crispy salmon skin salad with yuzu sauce	79,000đ+
45	/ho-chi-minh/the-pizza-company-quang-trung	Salad Trộn xốt Caesar / Caesar's salad	79,000đ+
46	/ho-chi-minh/the-pizza-company-quang-trung	Salad Đặc sắc / Signature salad	79,000đ+
47	/ho-chi-minh/the-pizza-company-quang-trung	Salad Trộn Dầu Giấm / Garden salad with Balsamic vinegar dressing	69,000đ+
48	/ho-chi-minh/the-pizza-company-quang-trung	Cánh Gà Tẩm Bột Chiên Giòn / Korean style chicken wings	129,000đ+
49	/ho-chi-minh/the-pizza-company-quang-trung	Mực Chiên Giòn / Calamari	109,000đ+
50	/ho-chi-minh/the-pizza-company-quang-trung	Giỏ Khoai Tây Chiên / Potato basket	89,000đ+
