	Link	Name	average_score	space_score	position_score	quality_score	serve_score	price_score	address	district	views	review_count	price_range	open hours	close hours	suitable_time	last_pickup_time	prepare_time	holiday	type	capacity	style	suitable_with	serves	available
0	/ho-chi-minh/i-love-kem-phan-huy-ich	I Love Kem - Phan Huy Ích		--	--	--	--	--	206 Phan Huy Ích, P. 12	Quận Gò Vấp	334	0	15.000đ - 50.000đ	10:00 	 23:00	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối	22:45	Khoảng 7 - 10 phút	Các ngày lễ trong năm	Café/Dessert	50 người lớn	Món Việt	Hẹn hò,Họp nhóm,Takeaway - Mang về	Café - Kem	['Có wifi ', 'Có giao hàng', 'Có máy lạnh & điều hòa ', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Có karaoke', 'Giữ xe máy miễn phí', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có hỗ trợ hội thảo', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá', 'Có nhạc sống']
1	/ho-chi-minh/i-love-kem-nguyen-anh-thu	I Love Kem - Nguyễn Ảnh Thủ	8.7	9.5	9.5	9.0	9.3	6.0	53 Nguyễn Ảnh Thủ, P. Hiệp Thành	Quận 12	1.4K	4	30.000đ - 60.000đ	10:00 	 23:00	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối	22:45	Khoảng 7 - 10 phút	Các ngày lễ trong năm	Café/Dessert	50 người lớn	Món Việt	Hẹn hò,Họp nhóm,Takeaway - Mang về	Café - Kem,Ăn vặt - Ăn nhẹ	['Có wifi ', 'Có giao hàng', 'Có máy lạnh & điều hòa ', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Có karaoke', 'Giữ xe máy miễn phí', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có hỗ trợ hội thảo', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá', 'Có nhạc sống']
2	/ho-chi-minh/i-love-kem-dinh-tien-hoang	I Love Kem - Đinh Tiên Hoàng	7.5	6.8	8.1	7.6	7.6	7.6	207 Đinh Tiên Hoàng, P. Tân Định	Quận 1	1.5K	12	30.000đ - 60.000đ	10:00 	 22:00	Buổi  trưa,Buổi xế,Buổi  tối	21:30	Khoảng 5 - 10 phút	Các ngày lễ trong năm	Café/Dessert	30 người lớn	Món Việt	Hẹn hò,Họp nhóm,Takeaway - Mang về	Café - Kem	['Có wifi ', 'Có giao hàng ', 'Có máy lạnh & điều hòa ', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Có karaoke', 'Giữ xe máy miễn phí', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có hỗ trợ hội thảo', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá', 'Có nhạc sống']
3	/ho-chi-minh/banh-bong-lan-trung-muoi-to-rang-duong-c1	Bánh Bông Lan Trứng Muối - Tờ Rang - Mai Lão Bạng	8.2	7.2	7.8	9.1	8.5	8.5	25 Mai Lão Bạng, P. 13	Quận Tân Bình	27.8K	106	150.000đ - 250.000đ	08:00 	 22:00	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối	07:30 PM			Shop Online		Món Việt		Bánh - Kẹo	['Có giao hàng ', 'Cho mua về ', 'Nên đặt trước ', 'Có xuất hóa đơn đỏ']
4	/ho-chi-minh/cua-vang-hai-san-tuoi-song	Cua Vàng - Hải Sản Tươi Sống	7.2	7.6	7.2	7.4	6.8	7.0	16 Đất Thánh, P. 6	Quận Tân Bình	74.3K	94	100.000đ - 250.000đ	09:00 	 22:30	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối	10:00 PM	Khoảng 10 - 15 phút	Các ngày lễ trong năm	Nhà hàng	300 người lớn	Món Việt	Ăn gia đình,Hẹn hò,Uống bia - Nhậu,Họp nhóm	Hải sản	['Có wifi ', 'Có giao hàng', 'Có máy lạnh & điều hòa ', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô ', 'Nên đặt trước', 'Có bàn ngoài trời ', 'Có phòng riêng ', 'Có chỗ chơi cho trẻ em', 'Có karaoke', 'Giữ xe máy miễn phí ', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ ', 'Có hỗ trợ hội thảo', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá ', 'Có nhạc sống']
5	/ho-chi-minh/quan-nuong-co-khanh	Quán Nướng Cô Khanh	7.0	6.7	6.6	7.6	6.9	7.3	177B Cao Thắng, P. 12	Quận 10	66.0K	110	50.000đ - 66.000đ	18:00 	 23:00	Buổi xế,Buổi  tối	10:30 PM	Khoảng 10 - 20 phút	Các ngày lễ trong năm	Quán ăn	40 người lớn	Món Việt	Ăn bình dân - Quán Cóc	Thịt Ếch,Thịt Nai,Thịt Bò,Hải sản,Sườn nướng,Lẩu,Ăn vặt - Ăn nhẹ,Đà điểu	['Có wifi', 'Có giao hàng', 'Có máy lạnh & điều hòa', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời ', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Giữ xe máy miễn phí', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá']
6	/ho-chi-minh/korean-grill-buzza-bbq-buffet-nguyen-thi-thap	Korean Grill - Buzza BBQ Buffet - Nguyễn Thị Thập	8.1	8.3	8.2	8.1	8.0	7.8	Tầng 3, 51 - 53 Nguyễn Thị Thập, P. Tân Hưng	Quận 7	19.2K	124	40.000đ - 100.000đ	10:00 	 22:30	Buổi  trưa,Buổi xế,Buổi  tối		Khoảng 15 - 20 phút	Các ngày lễ trong năm	Nhà hàng	50 người lớn	Món Á ,Món Hàn	Ăn gia đình,Hẹn hò,Họp nhóm,Tiếp khách	Bò nướng,Thịt Bò,Bún,Sườn nướng,Mì	['Có wifi ', 'Có giao hàng', 'Có máy lạnh & điều hòa', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Có karaoke', 'Giữ xe máy miễn phí', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có hỗ trợ hội thảo', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá', 'Có nhạc sống']
7	/ho-chi-minh/korean-grill-buzza-bbq-buffet-nowzone	Korean Grill - Buzza BBQ Buffet - Nowzone	8.8	9.0	9.4	7.6	9.8	8.0	Tầng 4, TTTM Nowzone - 235 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh	Quận 1	3.3K	5	150.000đ - 400.000đ	11:00 	 22:00	Buổi  trưa,Buổi xế,Buổi  tối		Khoảng 5 - 10 phút	Các ngày lễ trong năm	Buffet	100 người lớn	Món Á ,Món Hàn	Ăn gia đình,Họp nhóm,BBQ - Món Nướng		['Có wifi ', 'Có máy lạnh & điều hòa ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước ', 'Có bàn ngoài trời', 'Giữ xe máy miễn phí', 'Có xuất hóa đơn đỏ', 'Có hỗ trợ hội thảo']
8	/ho-chi-minh/kem-my-duong-41	Kem Mỹ - Đường 41	7.2	6.7	7.2	7.6	6.7	7.7	23 Đường 41, P. 6	Quận 4	52.4K	123	14.000đ - 40.000đ	15:00 	 22:00	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối	09:30 PM	Khoảng 3 - 5 phút	Các ngày lễ trong năm	Café/Dessert	20 người lớn		Ăn gia đình,Ăn vặt	Café - Kem	['Có wifi', 'Có giao hàng ', 'Có máy lạnh & điều hòa', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Có karaoke', 'Giữ xe máy miễn phí ', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có hỗ trợ hội thảo', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá', 'Có nhạc sống']
9	/ho-chi-minh/ha-cao-xiu-mai-van-kiep	Há Cảo Xíu Mại - Vạn Kiếp	6.5	5.6	6.5	7.2	6.2	7.1	Xe Đẩy Góc Phan Xích Long & Vạn Kiếp	Quận Bình Thạnh	63.7K	142	10.000đ - 20.000đ	16:30 	 22:00	Buổi  tối	09:30 PM	Khoảng 5 - 10 phút	Các ngày lễ trong năm	Ăn vặt/vỉa hè	10 người lớn	Món Việt	Ăn vặt	Ăn vặt - Ăn nhẹ	['Có giao hàng', 'Cho mua về ', 'Có bàn ngoài trời', 'Giữ xe máy miễn phí ', 'Có khu vực hút thuốc', 'Có chiếu bóng đá']
