idNum,_id,name,review_count,address,district,average_score,views,food_list,comment_list,quality_score,space_score,position_score,serve_score,price_score,food_link,price_range,opening_time,suitable_time,prepare_time,holiday,type,capacity,style,suitable_with,serves,available,parking_lots,parking_lots_ammount,link,last_pick_up_time,website
0,6337f7ea41d0d217e52a06d2,TukTuk Thai Bistro - Hoa Mai,55,13 Hoa Mai,Quận Phú Nhuận,7.5,11400,[],[],7.9,7.8,7.8,7.5,6.6,https://shopeefood.vn/ho-chi-minh/tuktuk-thai-bistro-hoa-mai?source_url=foody_ordernow_pc,"100,000 đ - 300,000 đ",Đang mở cửa  10:00 - 22:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 7 - 10 phút,Các ngày lễ trong năm,Nhà hàng,80 người lớn,"Món Á ,  Món Thái","Ăn gia đình ,  Họp nhóm ,  Ăn Fastfood","Thịt Gà ,  Bánh mì ,  Tôm ,  Đậu hũ ,  Bún ,  Cua - Ghẹ ,  Thịt Heo ,  Xôi ,  Thịt Bò ,  Hải sản ,  Chè ,  Bánh bao ,  Món nước ,  Mì ,  Cháo ,  Cá ,  Nghêu - Sò - Ốc ,  Súp ,  Mực ,  Salad ,  Gỏi ,  Dimsum ,  Ăn vặt - Ăn nhẹ ,  Cơm ,  Nem ,  Thức uống","['Có wifi', 'Có máy lạnh & điều hòa', 'Nên đặt trước']",[],0,https://www.foody.vn/ho-chi-minh/tuktuk-thai-bistro-hoa-mai,,
1,6337f7ef41d0d217e52a06d3,Papaxốt - Phạm Hùng,118,"8A Phạm Hùng, P. 4",Quận 8,7.3,11300,[],[],7.7,7.7,7.3,7.3,6.7,https://shopeefood.vn/ho-chi-minh/papaxot-pham-hung?source_url=foody_ordernow_pc,,Đang mở cửa  09:00 - 21:30,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 5 - 7 phút,Các ngày lễ trong năm,Nhà hàng,100 người lớn,"Món Á ,  Món Nhật","Đãi tiệc ,  Ăn gia đình ,  Họp nhóm ,  Tiếp khách","Thịt Bò ,  Bún ,  Mì ,  Miến ,  Cơm","['Có wifi', 'Nên đặt trước', 'Giữ xe máy miễn phí']",[],0,https://www.foody.vn/ho-chi-minh/papaxot-pham-hung,09:30 PM,
2,6337f7f841d0d217e52a06d4,Trà Sữa BoBaPop - Lãnh Binh Thăng,70,"376 Lãnh Binh Thăng, P. 11",Quận 11,6.2,12000,[],[],6.3,6.0,6.5,5.8,6.6,https://shopeefood.vn/ho-chi-minh/tra-sua-bobapop-lanh-binh-thang?source_url=foody_ordernow_pc,,Đang mở cửa  09:00 - 21:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 5 - 10 phút,Các ngày lễ trong năm,Café/Dessert,25 người lớn,"Món Á ,  Đài Loan","Hẹn hò ,  Họp nhóm ,  Thư giãn ,  Takeaway - Mang về ,  Nghe nhạc ,  Đọc sách - học bài ,  Chụp hình - Quay phim","Café - Kem ,  Sinh tố - Nước ép ,  Thức uống ,  Trà sữa","['Có wifi', 'Có giao hàng', 'Có máy lạnh & điều hòa', 'Cho mua về', 'Trả bằng thẻ', 'Nên đặt trước', 'Giữ xe máy miễn phí']",[],0,https://www.foody.vn/ho-chi-minh/tra-sua-bobapop-lanh-binh-thang,09:45 PM,www.bobapop.com.vn
3,6337f7fb41d0d217e52a06d5,Lẩu Gà Ớt Hiểm 109 - Nguyễn Thị Thập,13,"158A Nguyễn Thị Thập, P. Bình Thuận",Quận 7,6.2,2500,[],[],5.5,6.5,6.2,6.3,6.3,https://shopeefood.vn/ho-chi-minh/lau-ga-ot-hiem-109-nguyen-thi-thap?source_url=foody_ordernow_pc,,Đang mở cửa  10:30 - 21:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 7 - 10 phút,Các ngày lễ trong năm,Quán ăn,50 người lớn,Món Việt,"Ăn gia đình ,  Uống bia - Nhậu ,  Họp nhóm","Thịt Gà ,  Xôi ,  Bánh bao ,  Mì ,  Lẩu ,  Bánh - Kẹo ,  Salad ,  Ăn vặt - Ăn nhẹ ,  Nem","['Có wifi', 'Có giao hàng', 'Nên đặt trước']",[],0,https://www.foody.vn/ho-chi-minh/lau-ga-ot-hiem-109-nguyen-thi-thap,,
4,6337f80841d0d217e52a06d6,Hawaii Kìa,278,401 Sư Vạn Hạnh,Quận 10,7.0,174400,[],[],6.9,7.8,7.3,7.0,6.2,https://shopeefood.vn/ho-chi-minh/hawaii-kia?source_url=foody_ordernow_pc,,Đang mở cửa  08:30 - 22:30,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 10 - 15 phút,Các ngày lễ trong năm,Café/Dessert,50 người lớn,Món Việt,"Hẹn hò ,  Họp nhóm ,  Thư giãn","Trà ,  Café - Kem ,  Sinh tố - Nước ép ,  Thức uống","['Có wifi', 'Cho mua về', 'Giữ xe máy miễn phí']","[{'name': 'Bãi Giữ Xe Đường Cao Thắng', 'address': 'Cao Thắng, P. 12, Quận 10, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 0   - 50  '}]",1,https://www.foody.vn/ho-chi-minh/hawaii-kia,10:00 PM,
5,6337f80841d0d217e52a06d7,Mochi Sweets - Crescent Mall,4,"Tầng 5 Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú",Quận 7,8.0,696,[],[],9.0,7.8,7.5,7.8,7.8,https://shopeefood.vn/ho-chi-minh/mochi-sweet-crescent-mall?source_url=foody_ordernow_pc,,Đang mở cửa  10:00 - 22:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 3 - 5 phút,Các ngày lễ trong năm,Tiệm bánh,20 người lớn,"Món Á ,  Món Nhật","Hẹn hò ,  Họp nhóm ,  Takeaway - Mang về",Bánh - Kẹo,"['Có wifi', 'Cho mua về', 'Có chỗ đậu ôtô', 'Có xuất hóa đơn đỏ']",[],0,https://www.foody.vn/ho-chi-minh/mochi-sweet-crescent-mall,09:30 PM,
6,6337f80841d0d217e52a06d8,Bánh Mì Chim Chạy - Thịt Nướng Than,197,"Cổng Chính Chợ Thái Bình, P. Phạm Ngũ Lão",Quận 1,7.8,25300,[],[],8.4,7.1,7.6,7.9,7.9,https://shopeefood.vn/ho-chi-minh/banh-mi-chim-chay?source_url=foody_ordernow_pc,"10,000 đ - 20,000 đ",Chưa mở cửa  17:00 - 23:30,Buổi tối,Khoảng 1 - 2 phút,Các ngày lễ trong năm,Ăn vặt/vỉa hè,10 người lớn,Món Việt,Ăn vặt,"Bánh mì ,  Bánh - Kẹo ,  Ăn vặt - Ăn nhẹ","['Có giao hàng', 'Cho mua về']","[{'name': 'Bãi Xe Ô Tô Đường Lê Lai', 'address': 'Lê Lai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 0   - 50  '}, {'name': 'Bãi Giữ Xe Công Viên 23 Tháng 9', 'address': 'Lê Lai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Galaxy Nguyễn Du', 'address': '116 Nguyễn Du, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-23:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Công Viên Tao Đàn - Cách Mạng Tháng 8', 'address': 'Cách Mạng Tháng 8, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 06:00-18:00', 'capacity': '- Sức chứa: 300    '}]",4,https://www.foody.vn/ho-chi-minh/banh-mi-chim-chay,10:30 PM,www.banhmichimchay.com.vn
7,6337f80a41d0d217e52a06d9,Hẻm Fast Food - Món Hàn Quốc - Nguyễn Cư Trinh,116,"75 Nguyễn Cư Trinh, P. Nguyễn Cư Trinh",Quận 1,6.6,8600,[],[],6.3,6.4,7.1,6.2,6.8,https://shopeefood.vn/ho-chi-minh/hem-fast-food-mon-han-quoc-nguyen-cu-trinh?source_url=foody_ordernow_pc,,Đang mở cửa  11:00 - 21:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 5 - 15 phút,Các ngày lễ trong năm,Quán ăn,20 người lớn,Món Việt,"Hẹn hò ,  Họp nhóm ,  Takeaway - Mang về","Thịt Gà ,  Cơm Chiên ,  Thịt Bò ,  Bún ,  Mì ,  Món nước ,  Lẩu ,  Cháo ,  Cơm văn phòng ,  Ăn vặt - Ăn nhẹ ,  Cơm ,  Thức uống","['Có wifi', 'Cho mua về']","[{'name': 'Bãi Xe Ô Tô Đường Lê Lai', 'address': 'Lê Lai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 0   - 50  '}, {'name': 'Bãi Giữ Xe Công Viên 23 Tháng 9', 'address': 'Lê Lai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Công Viên Tao Đàn - Cách Mạng Tháng 8', 'address': 'Cách Mạng Tháng 8, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 06:00-18:00', 'capacity': '- Sức chứa: 300    '}]",3,https://www.foody.vn/ho-chi-minh/hem-fast-food-mon-han-quoc-nguyen-cu-trinh,,
8,6337f80c41d0d217e52a06da,Papaxốt - Nguyễn Gia Trí,139,"138 Nguyễn Gia Trí (Đường D2), P. 25",Quận Bình Thạnh,7.0,11800,[],[],6.9,7.2,7.5,6.7,6.6,https://shopeefood.vn/ho-chi-minh/papaxot-duong-d2?source_url=foody_ordernow_pc,,Đang mở cửa  10:00 - 22:30,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 5 - 15 phút,Các ngày lễ trong năm,Nhà hàng,30 người lớn,"Món Á ,  Món Nhật","Ăn gia đình ,  Họp nhóm ,  Takeaway - Mang về","Thịt Bò ,  Beefsteak - Bò né ,  Mì ,  Món nước ,  Cơm","['Có wifi', 'Cho mua về']",[],0,https://www.foody.vn/ho-chi-minh/papaxot-duong-d2,10:00 PM,
9,6337f80c41d0d217e52a06db,Chang - Modern Thai Cuisine - Võ Văn Ngân,73,"292 Võ Văn Ngân, P. Bình Thọ",Tp. Thủ Đức,8.8,3400,[],[],8.9,9.0,8.9,9.1,8.3,https://shopeefood.vn/ho-chi-minh/chang-modern-thai-cuisine-vo-van-ngan?source_url=foody_ordernow_pc,,Đang mở cửa  11:00 - 21:00,"Buổi trưa , Buổi xế , Buổi tối",Khoảng 5 - 15 phút,Các ngày lễ trong năm,Nhà hàng,50 người lớn,"Món Á ,  Món Thái","Đãi tiệc ,  Ăn gia đình ,  Họp nhóm","Thịt Gà ,  Tôm ,  Gà rán ,  Cơm Chiên ,  Bún ,  Thịt Bò ,  Xôi ,  Thịt Heo ,  Hải sản ,  Mì ,  Cá ,  Lẩu ,  Súp ,  Miến ,  Cơm ,  Thức uống","['Có wifi', 'Có máy lạnh & điều hòa', 'Cho mua về']",[],0,https://www.foody.vn/ho-chi-minh/chang-modern-thai-cuisine-vo-van-ngan,,
