,_id,name,review_count,address,district,average_score,space_score,position_score,quality_score,serve_score,price_score,views,food_link,food_list,comment_list,price_range,opening_time,suitable_time,prepare_time,holiday,type,capacity,style,suitable_with,serves,available,parking_lots,last_pick_up_time,website
0,6331108cda3cb00941e87b63,TukTuk Thai Bistro - Hoa Mai,55,13 Hoa Mai,Quận Phú Nhuận,7.5,7.9,7.8,7.8,7.5,6.6,11.3K,https://shopeefood.vn/ho-chi-minh/tuktuk-thai-bistro-hoa-mai?source_url=foody_ordernow_pc,[],[],"100,000 đ - 300,000 đ",Chưa mở cửa  10:00 - 22:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 7 - 10 phút,Các ngày lễ trong năm,Nhà hàng,80 người lớn,"Món Á ,  Món Thái","Ăn gia đình ,  Họp nhóm ,  Ăn Fastfood","Thịt Gà ,  Bánh mì ,  Tôm ,  Đậu hũ ,  Bún ,  Cua - Ghẹ ,  Thịt Heo ,  Xôi ,  Thịt Bò ,  Hải sản ,  Chè ,  Bánh bao ,  Món nước ,  Mì ,  Cháo ,  Cá ,  Nghêu - Sò - Ốc ,  Súp ,  Mực ,  Salad ,  Gỏi ,  Dimsum ,  Ăn vặt - Ăn nhẹ ,  Cơm ,  Nem ,  Thức uống","['Có wifi', 'Có máy lạnh & điều hòa', 'Nên đặt trước']",[],,
1,63311096da3cb00941e87b64,Papaxốt - Phạm Hùng,118,"8A Phạm Hùng, P. 4",Quận 8,7.3,7.7,7.7,7.3,7.3,6.7,11.3K,https://shopeefood.vn/ho-chi-minh/papaxot-pham-hung?source_url=foody_ordernow_pc,[],[],,Đang mở cửa  09:00 - 21:30,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 5 - 7 phút,Các ngày lễ trong năm,Nhà hàng,100 người lớn,"Món Á ,  Món Nhật","Đãi tiệc ,  Ăn gia đình ,  Họp nhóm ,  Tiếp khách","Thịt Bò ,  Bún ,  Mì ,  Miến ,  Cơm","['Có wifi', 'Nên đặt trước', 'Giữ xe máy miễn phí']",[],09:30 PM,
2,6331109cda3cb00941e87b65,Trà Sữa BoBaPop - Lãnh Binh Thăng,70,"376 Lãnh Binh Thăng, P. 11",Quận 11,6.2,6.6,6.5,6.3,6.0,5.8,12.0K,https://shopeefood.vn/ho-chi-minh/tra-sua-bobapop-lanh-binh-thang?source_url=foody_ordernow_pc,[],[],,Đang mở cửa  09:00 - 21:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 5 - 10 phút,Các ngày lễ trong năm,Café/Dessert,25 người lớn,"Món Á ,  Đài Loan","Hẹn hò ,  Họp nhóm ,  Thư giãn ,  Takeaway - Mang về ,  Nghe nhạc ,  Đọc sách - học bài ,  Chụp hình - Quay phim","Café - Kem ,  Sinh tố - Nước ép ,  Thức uống ,  Trà sữa","['Có wifi', 'Có giao hàng', 'Có máy lạnh & điều hòa', 'Cho mua về', 'Trả bằng thẻ', 'Nên đặt trước', 'Giữ xe máy miễn phí']",[],09:45 PM,www.bobapop.com.vn
3,6331109eda3cb00941e87b66,Lẩu Gà Ớt Hiểm 109 - Nguyễn Thị Thập,13,"158A Nguyễn Thị Thập, P. Bình Thuận",Quận 7,6.2,6.5,6.3,6.3,6.2,5.5,2.5K,https://shopeefood.vn/ho-chi-minh/lau-ga-ot-hiem-109-nguyen-thi-thap?source_url=foody_ordernow_pc,[],[],,Chưa mở cửa  10:30 - 21:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 7 - 10 phút,Các ngày lễ trong năm,Quán ăn,50 người lớn,Món Việt,"Ăn gia đình ,  Uống bia - Nhậu ,  Họp nhóm","Thịt Gà ,  Xôi ,  Bánh bao ,  Mì ,  Lẩu ,  Bánh - Kẹo ,  Salad ,  Ăn vặt - Ăn nhẹ ,  Nem","['Có wifi', 'Có giao hàng', 'Nên đặt trước']",[],,
4,633110a4da3cb00941e87b67,Morico - Contemporary Japanese Lifestyle - Lê Lợi,"1,365","30 Lê Lợi, P. Bến Nghé",Quận 1,7.7,8.1,7.9,7.9,7.9,6.9,238.3K,https://shopeefood.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-le-loi?source_url=foody_ordernow_pc,[],[],,Chưa mở cửa  11:00 - 19:30,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 5 - 10 phút,Các ngày lễ trong năm,Café/Dessert,70 người lớn (Có chỗ cho trẻ em),"Món Á ,  Món Nhật","Đãi tiệc ,  Họp nhóm ,  Tiếp khách","Món nước ,  Mì ,  Bánh - Kẹo ,  Café - Kem","['Có wifi', 'Có giao hàng', 'Có máy lạnh & điều hòa', 'Cho mua về', 'Trả bằng thẻ', 'Nên đặt trước', 'Giữ xe máy miễn phí', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có hỗ trợ hội thảo']","[{'name': 'Bãi Giữ Xe Bảo Tàng Mỹ Thuật', 'address': '97 Phó Đức Chính, P. Nguyễn Thái Bình, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 100   - 50  '}, {'name': 'Bãi Giữ Xe Đường Hàm Nghi', 'address': 'Hàm Nghi, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-21:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Ô Tô 24/24 - Nam Kỳ Khởi Nghĩa', 'address': 'Nam Kỳ Khởi Nghĩa, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 24:00-24:00', 'capacity': '- Sức chứa: 0   - 100  '}, {'name': 'Bãi Xe Ô Tô Đường Lê Lai', 'address': 'Lê Lai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 0   - 50  '}, {'name': 'Bãi Giữ Xe Công Viên 23 Tháng 9', 'address': 'Lê Lai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Bitexco', 'address': 'Hải Triều, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 1000   - 50  '}, {'name': 'Bãi Xe Ô Tô Nhà Hát Lớn Thành Phố', 'address': 'Công Trường Lam Sơn, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-23:00', 'capacity': '- Sức chứa: 50    '}, {'name': 'Bãi Giữ Xe Dinh Độc Lập', 'address': '135 Nam Kỳ Khởi Nghĩa, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-18:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Bệnh Viện Nhi Đồng 2 - Lý Tự Trọng', 'address': 'Lý Tự Trọng, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 24:00-24:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Bệnh Viện Nhi Đồng 2 - Nguyễn Du', 'address': 'Nguyễn Du, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 24:00-24:00', 'capacity': '- Sức chứa: 2000    '}, {'name': 'Bãi Giữ Xe Nhà Hát Thành Phố', 'address': '7 Công Trường Lam Sơn, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Vincom Center', 'address': '72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-23:00', 'capacity': '- Sức chứa: 2000    '}, {'name': 'Bãi Giữ Xe Diamond Plaza', 'address': '34 Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 09:30-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Nhà Văn Hóa Thanh Niên', 'address': 'Nguyễn Thị Minh Khai, P. 6, Quận 3, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Đường Sách - Hai Bà Trưng', 'address': 'Hai Bà Trưng, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Đường Sách Nguyễn Văn Bình', 'address': 'Nguyễn Văn Bình, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Bưu Điện Thành Phố', 'address': 'Công Xã Paris, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-21:30', 'capacity': '- Sức chứa: 60    '}, {'name': 'Bãi Giữ Xe Đường Lê Duẩn', 'address': 'Lê Duẩn, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-23:00', 'capacity': '- Sức chứa: 2000    '}, {'name': 'Bãi Giữ Xe Chung Cư 42 Nguyễn Huệ', 'address': '42 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 60    '}, {'name': 'Bãi Giữ Xe Phố Nguyễn Huệ - Hải Triều', 'address': 'Hải Triều, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Phố Nguyễn Huệ - Tôn Thất Thiệp', 'address': 'Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 24:00-24:00', 'capacity': '- Sức chứa: 2000    '}, {'name': 'Bãi Giữ Xe Cung Văn Hóa Lao Động', 'address': '55B Nguyễn Thị Minh Khai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Galaxy Nguyễn Du', 'address': '116 Nguyễn Du, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-23:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Xe Công Viên Tao Đàn - Khuôn Viên Tao Đàn', 'address': 'Huyền Trân Công Chúa, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 06:00-21:00', 'capacity': '- Sức chứa: 500    '}, {'name': 'Bãi Giữ Xe Công Viên Tao Đàn', 'address': 'Nguyễn Thị Minh Khai, P. 6, Quận 3, TP. HCM', 'opening_time': '- Giờ mở cửa: 06:00-21:00', 'capacity': '- Sức chứa: 500    '}]",21:00,
5,633110a6da3cb00941e87b68,Mochi Sweets - Crescent Mall,4,"Tầng 5 Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú",Quận 7,8.0,9.0,7.8,7.8,7.8,7.5,686,https://shopeefood.vn/ho-chi-minh/mochi-sweet-crescent-mall?source_url=foody_ordernow_pc,[],[],,Chưa mở cửa  10:00 - 22:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 3 - 5 phút,Các ngày lễ trong năm,Tiệm bánh,20 người lớn,"Món Á ,  Món Nhật","Hẹn hò ,  Họp nhóm ,  Takeaway - Mang về",Bánh - Kẹo,"['Có wifi', 'Cho mua về', 'Có chỗ đậu ôtô', 'Có xuất hóa đơn đỏ']",[],09:30 PM,
6,633110a7da3cb00941e87b69,Bánh Mì Chim Chạy - Thịt Nướng Than,197,"Cổng Chính Chợ Thái Bình, P. Phạm Ngũ Lão",Quận 1,7.8,8.4,7.9,7.9,7.6,7.1,25.2K,https://shopeefood.vn/ho-chi-minh/banh-mi-chim-chay?source_url=foody_ordernow_pc,[],[],"10,000 đ - 20,000 đ",Chưa mở cửa  17:00 - 23:30,Buổi tối,Khoảng 1 - 2 phút,Các ngày lễ trong năm,Ăn vặt/vỉa hè,10 người lớn,Món Việt,Ăn vặt,"Bánh mì ,  Bánh - Kẹo ,  Ăn vặt - Ăn nhẹ","['Có giao hàng', 'Cho mua về']","[{'name': 'Bãi Xe Ô Tô Đường Lê Lai', 'address': 'Lê Lai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 0   - 50  '}, {'name': 'Bãi Giữ Xe Công Viên 23 Tháng 9', 'address': 'Lê Lai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Galaxy Nguyễn Du', 'address': '116 Nguyễn Du, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-23:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Công Viên Tao Đàn - Cách Mạng Tháng 8', 'address': 'Cách Mạng Tháng 8, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 06:00-18:00', 'capacity': '- Sức chứa: 300    '}]",10:30 PM,www.banhmichimchay.com.vn
7,633110a9da3cb00941e87b6a,Hawaii Kìa,278,401 Sư Vạn Hạnh,Quận 10,7.0,7.8,7.3,7.0,6.9,6.2,174.4K,https://shopeefood.vn/ho-chi-minh/hawaii-kia?source_url=foody_ordernow_pc,[],[],,Đang mở cửa  08:30 - 22:30,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 10 - 15 phút,Các ngày lễ trong năm,Café/Dessert,50 người lớn,Món Việt,"Hẹn hò ,  Họp nhóm ,  Thư giãn","Trà ,  Café - Kem ,  Sinh tố - Nước ép ,  Thức uống","['Có wifi', 'Cho mua về', 'Giữ xe máy miễn phí']","[{'name': 'Bãi Giữ Xe Đường Cao Thắng', 'address': 'Cao Thắng, P. 12, Quận 10, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 0   - 50  '}]",10:00 PM,
8,633110adda3cb00941e87b6b,Hẻm Fast Food - Món Hàn Quốc - Nguyễn Cư Trinh,116,"75 Nguyễn Cư Trinh, P. Nguyễn Cư Trinh",Quận 1,6.6,7.1,6.8,6.4,6.3,6.2,8.5K,https://shopeefood.vn/ho-chi-minh/hem-fast-food-mon-han-quoc-nguyen-cu-trinh?source_url=foody_ordernow_pc,[],[],,Chưa mở cửa  11:00 - 21:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 5 - 15 phút,Các ngày lễ trong năm,Quán ăn,20 người lớn,Món Việt,"Hẹn hò ,  Họp nhóm ,  Takeaway - Mang về","Thịt Gà ,  Cơm Chiên ,  Thịt Bò ,  Bún ,  Mì ,  Món nước ,  Lẩu ,  Cháo ,  Cơm văn phòng ,  Ăn vặt - Ăn nhẹ ,  Cơm ,  Thức uống","['Có wifi', 'Cho mua về']","[{'name': 'Bãi Xe Ô Tô Đường Lê Lai', 'address': 'Lê Lai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 0   - 50  '}, {'name': 'Bãi Giữ Xe Công Viên 23 Tháng 9', 'address': 'Lê Lai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Công Viên Tao Đàn - Cách Mạng Tháng 8', 'address': 'Cách Mạng Tháng 8, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 06:00-18:00', 'capacity': '- Sức chứa: 300    '}]",,
9,633110afda3cb00941e87b6c,Papaxốt - Nguyễn Gia Trí,139,"138 Nguyễn Gia Trí (Đường D2), P. 25",Quận Bình Thạnh,7.0,7.5,7.2,6.9,6.7,6.6,11.8K,https://shopeefood.vn/ho-chi-minh/papaxot-duong-d2?source_url=foody_ordernow_pc,[],[],,Chưa mở cửa  10:00 - 22:30,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",Khoảng 5 - 15 phút,Các ngày lễ trong năm,Nhà hàng,30 người lớn,"Món Á ,  Món Nhật","Ăn gia đình ,  Họp nhóm ,  Takeaway - Mang về","Thịt Bò ,  Beefsteak - Bò né ,  Mì ,  Món nước ,  Cơm","['Có wifi', 'Cho mua về']",[],10:00 PM,
